375	2	WA
375	3	AC
413	1	AC
375	2	CE
375	2	AC
436	10	AC
360	1	AC
372	10	TLE
375	1	CE
360	2	AC
360	3	AC
375	1	WA
360	8	TLE
372	10	TLE
360	9	AC
355	1	WA
360	10	AC
436	9	AC
355	1	AC
377	1	AC
377	2	WA
355	2	AC
363	9	AC
374	2	WA
363	9	TLE
363	8	WA
374	3	TLE
363	9	AC
374	2	WA
363	8	WA
372	3	TLE
363	10	TLE
374	2	WA
439	4	WA
356	2	WA
377	2	TLE
374	2	WA
413	6	WA
439	4	WA
429	1	AC
442	2	WA
377	2	WA
355	3	AC
377	2	WA
377	2	AC
374	2	AC
377	3	WA
372	10	TLE
377	3	WA
377	3	AC
413	6	WA
413	6	WA
377	4	WA
377	4	WA
429	3	TLE
377	4	WA
374	3	TLE
377	4	WA
375	6	AC
377	4	CE
374	4	WA
377	4	CE
429	3	TLE
372	3	TLE
355	6	AC
377	4	WA
374	4	WA
374	3	WA
413	5	TLE
413	6	WA
429	3	TLE
372	3	TLE
377	4	WA
429	2	WA
377	4	WA
448	3	AC
377	4	WA
5	1	CE
5	1	WA
5	1	WA
5	1	AC
355	8	WA
355	8	WA
377	10	TLE
377	10	TLE
355	8	AC
374	3	WA
360	8	WA
5	2	WA
360	8	WA
360	8	WA
360	8	AC
377	10	WA
377	10	WA
355	9	TLE
374	4	WA
377	10	TLE
5	2	AC
5	2	AC
355	9	TLE
462	9	TLE
429	3	MLE
355	9	TLE
355	9	TLE
355	9	TLE
369	10	TLE
369	10	TLE
449	10	TLE
369	10	AC
449	10	TLE
449	10	TLE
372	10	TLE
372	10	TLE
364	4	WA
364	4	WA
364	3	TLE
384	10	RTE
364	3	WA
384	10	RTE
375	7	WA
375	7	CE
375	7	AC
429	3	CE
429	2	CE
429	3	WA
429	2	WA
434	2	WA
434	2	AC
372	9	TLE
429	2	AC
372	9	TLE
372	9	TLE
372	9	TLE
434	3	AC
434	4	CE
434	4	WA
372	9	TLE
372	10	RTE
372	10	RTE
372	10	RTE
372	10	RTE
369	2	AC
369	3	AC
434	5	WA
434	5	WA
434	5	WA
434	5	WA
434	5	AC
434	5	WA
434	5	AC
434	5	AC
369	8	TLE
372	3	TLE
372	4	TLE
370	1	AC
370	2	WA
370	2	WA
370	2	AC
370	3	AC
370	9	TLE
370	9	TLE
370	9	TLE
370	9	TLE
370	9	TLE
370	9	TLE
370	9	TLE
370	10	TLE
354	2	TLE
354	2	TLE
354	2	TLE
447	1	WA
447	1	WA
447	1	AC
354	2	TLE
354	2	TLE
447	2	WA
383	4	WA
447	2	AC
383	5	WA
383	6	WA
462	8	WA
447	3	WA
383	6	WA
